entry_date,name,Side,entry_price,qty,exit_date,exit_price,profit,price_change_pct,profit_bps,holding_days,EC,entry_value,exit_value
2024-09-20 11:38:00,Leg2,sell,1.48,67567.0,2024-09-20 15:46:00,0.065,95607.30500000001,0.9560810810810811,9560.810810810812,0,10975586.72,99999.16,4391.8550000000005
2024-09-23 10:01:00,Leg1,sell,0.545,183486.0,2024-09-23 10:24:00,1.05,-92660.43000000001,0.9266055045871558,-9266.055045871559,0,10882926.29,99999.87000000001,192660.30000000002
2024-09-23 10:07:00,Leg2,sell,0.635,157480.0,2024-09-23 15:46:00,0.025,96062.8,0.9606299212598425,9606.299212598426,0,10978989.09,99999.8,3937.0
2024-09-23 10:36:00,Leg1,sell,0.735,136054.0,2024-09-23 15:46:00,0.055,92516.71999999999,0.9251700680272108,9251.700680272108,0,11071505.81,99999.69,7482.97
2024-09-24 09:58:00,Leg1,sell,0.415,240963.0,2024-09-24 15:46:00,0.11499999999999999,72288.9,0.7228915662650602,7228.915662650602,0,11143794.71,99999.64499999999,27710.745
2024-09-24 10:12:00,Leg2,sell,1.07,93457.0,2024-09-24 10:24:00,1.6,-49532.21,0.4953271028037383,-4953.271028037383,0,11094262.5,99998.99,149531.2
2024-09-24 10:59:00,Leg2,sell,0.645,155038.0,2024-09-24 15:46:00,0.025,96123.56,0.9612403100775193,9612.403100775193,0,11190386.06,99999.51000000001,3875.9500000000003
2024-10-16 10:42:00,Leg1,sell,0.975,102564.0,2024-10-16 12:56:00,1.54,-57948.66,0.5794871794871795,-5794.871794871796,0,11132437.4,99999.9,157948.56
2024-10-18 10:57:00,Leg1,sell,0.525,190476.0,2024-10-18 12:45:00,1.03,-96190.38,0.9619047619047618,-9619.047619047618,0,11036247.02,99999.90000000001,196190.28
2024-11-05 10:50:00,Leg2,sell,0.645,155038.0,2024-11-05 15:46:00,0.025,96123.56,0.9612403100775193,9612.403100775193,0,11132370.58,99999.51000000001,3875.9500000000003
2024-11-12 11:54:00,Leg2,sell,1.1949999999999998,83682.0,2024-11-12 11:59:00,1.7349999999999999,-45188.280000000006,0.4518828451882846,-4518.828451882846,0,11087182.3,99999.98999999999,145188.27
2024-11-13 10:00:00,Leg2,sell,0.645,155038.0,2024-11-13 10:07:00,1.2650000000000001,-96123.56000000001,0.9612403100775195,-9612.403100775195,0,10991058.74,99999.51000000001,196123.07
2024-11-13 10:15:00,Leg2,sell,0.985,101522.0,2024-11-13 15:46:00,0.015,98476.34,0.9847715736040609,9847.715736040609,0,11089535.08,99999.17,1522.83
2024-11-14 10:04:00,Leg1,sell,0.365,273972.0,2024-11-14 15:46:00,0.005,98629.92,0.9863013698630136,9863.013698630137,0,11188165.0,99999.78,1369.8600000000001
2024-11-14 11:27:00,Leg2,sell,0.605,165289.0,2024-11-14 12:01:00,1.14,-88429.61499999999,0.884297520661157,-8842.975206611569,0,11099735.385,99999.845,188429.46
2024-11-18 12:11:00,Leg1,sell,1.415,70671.0,2024-11-18 15:46:00,1.0350000000000001,26854.979999999992,0.2685512367491165,2685.512367491165,0,11126590.365,99999.465,73144.48500000002
2024-12-11 10:19:00,Leg1,sell,0.615,162601.0,2024-12-11 12:02:00,1.1349999999999998,-84552.51999999996,0.8455284552845526,-8455.284552845525,0,11042037.845,99999.615,184552.13499999995
2024-12-23 11:48:00,Leg2,sell,0.46499999999999997,215053.0,2024-12-23 15:46:00,0.015,96773.84999999999,0.9677419354838709,9677.419354838708,0,11138811.695,99999.64499999999,3225.795
2024-12-23 12:16:00,Leg1,sell,0.96,104166.0,2024-12-23 13:03:00,1.47,-53124.66,0.53125,-5312.5,0,11085687.035,99999.36,153124.02
