,name,Side,entry_date,entry_price,qty,exit_date,exit_price,profit,exit_reason
48,Leg1,SELL,2024-06-24 09:45:00,0.23,100,2024-06-24 09:58:00,0.65,-42.00000000000001,EOD
49,Leg2,BUY,2024-06-24 09:45:00,0.43,100,2024-06-24 09:58:00,0.8,37.00000000000001,EOD
50,Leg1,SELL,2024-06-25 10:00:00,0.34,100,2024-06-25 15:45:00,0.13,21.000000000000004,EOD
51,Leg2,BUY,2024-06-25 10:00:00,0.52,100,2024-06-25 15:45:00,0.56,4.0000000000000036,EOD
52,Leg1,SELL,2024-06-26 12:06:00,0.34,100,2024-06-26 15:45:00,0.1,24.000000000000004,EOD
53,Leg2,BUY,2024-06-26 12:06:00,0.59,100,2024-06-26 15:45:00,0.42,-17.0,EOD
54,Leg1,SELL,2024-07-01 10:50:00,0.11,100,2024-07-01 15:45:00,0.01,10.0,EOD
55,Leg2,BUY,2024-07-01 10:50:00,0.21,100,2024-07-01 15:45:00,0.16,-4.999999999999999,EOD
56,Leg1,SELL,2024-07-15 09:56:00,0.4,100,2024-07-15 10:56:00,0.77,-37.0,EOD
57,Leg2,BUY,2024-07-15 09:56:00,0.59,100,2024-07-15 10:56:00,0.96,37.0,EOD
58,Leg1,SELL,2024-07-16 09:47:00,0.44,100,2024-07-16 15:45:00,0.13,31.0,EOD
59,Leg2,BUY,2024-07-16 09:47:00,0.65,100,2024-07-16 15:45:00,0.68,3.0000000000000027,EOD
60,Leg1,SELL,2024-07-17 09:45:00,0.65,100,2024-07-17 15:45:00,0.01,64.0,EOD
61,Leg2,BUY,2024-07-17 09:45:00,0.94,100,2024-07-17 15:45:00,0.32,-61.999999999999986,EOD
62,Leg1,SELL,2024-07-18 09:46:00,0.51,100,2024-07-18 10:07:00,0.92,-41.0,EOD
63,Leg2,BUY,2024-07-18 09:46:00,0.95,100,2024-07-18 10:07:00,1.34,39.000000000000014,EOD
64,Leg1,SELL,2024-07-23 09:53:00,0.62,100,2024-07-23 10:08:00,1.02,-40.0,EOD
65,Leg2,BUY,2024-07-23 09:53:00,0.85,100,2024-07-23 10:08:00,1.2,35.0,EOD
66,Leg1,SELL,2024-09-20 09:45:00,0.66,100,2024-09-20 15:45:00,0.2,46.0,EOD
67,Leg2,BUY,2024-09-20 09:45:00,0.95,100,2024-09-20 15:45:00,0.72,-23.0,EOD
68,Leg1,SELL,2024-09-23 09:47:00,0.3,100,2024-09-23 15:45:00,0.02,27.999999999999996,EOD
69,Leg2,BUY,2024-09-23 09:47:00,0.51,100,2024-09-23 15:45:00,0.3,-21.000000000000004,EOD
70,Leg1,SELL,2024-09-24 09:53:00,0.23,100,2024-09-24 15:45:00,0.02,21.000000000000004,EOD
71,Leg2,BUY,2024-09-24 09:53:00,0.41,100,2024-09-24 15:45:00,0.29,-12.0,EOD
72,Leg1,SELL,2024-10-16 09:45:00,0.41,100,2024-10-16 10:25:00,0.8,-39.00000000000001,EOD
73,Leg2,BUY,2024-10-16 09:45:00,0.77,100,2024-10-16 10:25:00,1.16,38.99999999999999,EOD
74,Leg1,SELL,2024-10-29 10:21:00,0.57,100,2024-10-29 10:26:00,1.12,-55.000000000000014,EOD
75,Leg2,BUY,2024-10-29 10:21:00,0.98,100,2024-10-29 10:26:00,1.49,51.0,EOD
76,Leg1,SELL,2024-11-01 09:47:00,0.57,100,2024-11-01 10:19:00,1.02,-45.00000000000001,EOD
77,Leg2,BUY,2024-11-01 09:47:00,1.08,100,2024-11-01 10:19:00,1.52,43.99999999999999,EOD
